player	Picked By
Alex Noren	Bray
Cameron Young	Bray
Jordan Spieth	Bray
Matt Kuchar	Bray
Tony Finau	Bray
Will Zalatoris	Bray
Billy Horschel	Bret
Cameron Smith	Bret
Hideki Matsuyama	Bret
Kevin Kisner	Bret
Marc Leishman	Bret
Talor Gooch	Bret
Rickie Fowler	Craig
Jason Kokrak	Craig
Jon Rahm	Craig
Maverick McNealy	Craig
Sam Burns	Craig
Tiger Woods	Craig
Adam Scott	Eric
Louis Oosthuizen	Eric
Matt Fitzpatrick	Eric
Scottie Scheffler	Eric
Sebastián Muñoz	Eric
Sergio Garcia	Eric
Dustin Johnson	Jacko
Harold Varner III	Jacko
Jason Day	Jacko
Seamus Power	Jacko
Tyrrell Hatton	Jacko
Xander Schauffele	Jacko
Aaron Wise	Jordan
Brooks Koepka	Jordan
Cameron Champ	Jordan
Corey Conners	Jordan
Justin Rose	Jordan
Justin Thomas	Jordan
Collin Morikawa	Mike
Davis Riley	Mike
Erik van Rooyen	Mike
Gary Woodland	Mike
Max Homa	Mike
Shane Lowry	Mike
K.H. Lee	Rocco
Mackenzie Hughes	Rocco
Patrick Cantlay	Rocco
Russell Henley	Rocco
Tommy Fleetwood	Rocco
Viktor Hovland	Rocco
Abraham Ancer	Trev
Daniel Berger	Trev
Joaquin Niemann	Trev
Robert MacIntyre	Trev
Rory McIlroy	Trev
Si Woo Kim	Trev
